IdКаса,Ряд,Місце,Ціна,Дата,IdВистави
1,3,1,400,2020-06-01,1
2,4,2,110,2020-06-01,1
3,1,6,200,2020-06-02,2
4,2,4,200,2020-06-03,3
5,6,1,150,2020-06-01,1
6,6,1,200,2020-06-02,2
7,4,2,200,2020-06-02,2
8,3,5,300,2020-06-03,3
9,3,1,250,2020-06-01,1
10,1,5,100,2020-06-02,2
11,2,4,170,2020-06-03,3
12,6,5,170,2020-06-03,3
13,4,3,100,2020-06-03,1
14,4,8,100,2020-09-09,2
15,2,7,100,2020-09-09,2
16,3,1,200,2001-06-06,4
17,3,1,200,2020-06-06,5
18,1,1,100,2020-10-10,6
19,1,1,200,2019-06-01,7
20,1,1,200,2020-07-01,8
21,1,1,200,2020-09-09,9
22,1,1,200,2020-06-04,10
